,airline,source_city,departure_time,stops,arrival_time,destination_city,class,duration,days_left,price
235142,Vistara,Mumbai,Night,one,Morning,Kolkata,Business,11.67,14,72125
71198,Vistara,Mumbai,Evening,one,Evening,Hyderabad,Economy,22.5,8,11129
131675,SpiceJet,Kolkata,Night,one,Night,Mumbai,Economy,26.17,27,6276
216171,Air_India,Delhi,Early_Morning,zero,Morning,Kolkata,Business,2.17,7,27976
92647,GO_FIRST,Bangalore,Evening,one,Late_Night,Delhi,Economy,6.0,43,4028
23532,Indigo,Delhi,Evening,zero,Night,Kolkata,Economy,2.33,21,3999
23659,Air_India,Delhi,Early_Morning,one,Afternoon,Kolkata,Economy,7.83,21,7535
272664,Air_India,Kolkata,Evening,zero,Evening,Chennai,Business,2.42,4,20606
170263,Indigo,Hyderabad,Early_Morning,one,Afternoon,Bangalore,Economy,9.42,46,1755
223082,Vistara,Delhi,Early_Morning,one,Night,Chennai,Business,15.58,20,60232
65380,GO_FIRST,Mumbai,Night,one,Early_Morning,Kolkata,Economy,10.75,23,5817
158886,Air_India,Hyderabad,Early_Morning,one,Night,Mumbai,Economy,15.08,5,7774
70059,Vistara,Mumbai,Early_Morning,one,Evening,Kolkata,Economy,12.08,48,5949
53246,Air_India,Mumbai,Evening,one,Afternoon,Bangalore,Economy,17.25,4,9201
13320,SpiceJet,Delhi,Afternoon,one,Morning,Bangalore,Economy,20.25,18,5619
123549,GO_FIRST,Kolkata,Evening,one,Late_Night,Delhi,Economy,7.33,26,6324
27648,Vistara,Delhi,Early_Morning,one,Evening,Kolkata,Economy,14.17,43,6578
71882,Vistara,Mumbai,Evening,one,Night,Hyderabad,Economy,5.33,13,9879
86731,Indigo,Bangalore,Morning,one,Night,Delhi,Economy,9.67,15,10901
264356,Air_India,Kolkata,Early_Morning,one,Evening,Mumbai,Business,13.0,8,50271
58314,SpiceJet,Mumbai,Afternoon,one,Morning,Bangalore,Economy,17.5,32,3944
283246,Vistara,Hyderabad,Night,one,Morning,Kolkata,Business,12.0,7,71979
168852,Vistara,Hyderabad,Night,one,Morning,Bangalore,Economy,12.08,33,6461
271834,Vistara,Kolkata,Morning,one,Night,Hyderabad,Business,12.5,34,89729
48393,Vistara,Mumbai,Morning,zero,Afternoon,Delhi,Economy,2.25,29,2339
41612,Indigo,Delhi,Night,zero,Late_Night,Chennai,Economy,2.83,41,2823
16497,Indigo,Delhi,Evening,one,Late_Night,Bangalore,Economy,5.58,33,4007
53836,Indigo,Mumbai,Evening,zero,Evening,Bangalore,Economy,1.75,8,5208
261057,Vistara,Bangalore,Evening,one,Night,Chennai,Business,29.0,45,60396
122977,GO_FIRST,Kolkata,Afternoon,zero,Evening,Delhi,Economy,2.58,23,4994
206343,Vistara,Chennai,Morning,two_or_more,Evening,Hyderabad,Economy,10.08,45,7596
295642,Vistara,Chennai,Early_Morning,one,Evening,Bangalore,Business,11.92,44,60260
298480,Vistara,Chennai,Morning,one,Afternoon,Hyderabad,Business,26.5,13,44939
118153,Vistara,Bangalore,Early_Morning,one,Night,Chennai,Economy,12.25,32,6510
144645,Vistara,Kolkata,Early_Morning,one,Afternoon,Hyderabad,Economy,5.42,21,5632
145680,Vistara,Kolkata,Morning,two_or_more,Night,Hyderabad,Economy,10.5,29,7572
86364,Vistara,Bangalore,Morning,zero,Afternoon,Delhi,Economy,2.92,14,7489
201248,Vistara,Chennai,Morning,one,Evening,Kolkata,Economy,9.83,36,8816
241297,Air_India,Mumbai,Afternoon,one,Morning,Hyderabad,Business,17.0,47,45693
115526,Vistara,Bangalore,Morning,one,Night,Hyderabad,Economy,13.17,49,6133
53114,Indigo,Mumbai,Early_Morning,one,Afternoon,Bangalore,Economy,6.92,3,11041
172005,Indigo,Hyderabad,Afternoon,one,Late_Night,Kolkata,Economy,8.67,14,5293
43592,Indigo,Mumbai,Morning,one,Evening,Delhi,Economy,7.83,5,6430
66427,GO_FIRST,Mumbai,Night,zero,Night,Kolkata,Economy,2.58,29,4499
146775,Vistara,Kolkata,Afternoon,one,Morning,Hyderabad,Economy,18.33,38,10511
206341,Air_India,Chennai,Early_Morning,one,Night,Hyderabad,Economy,17.42,45,6156
212801,Vistara,Delhi,Early_Morning,one,Morning,Bangalore,Business,5.0,12,54777
299626,Vistara,Chennai,Night,one,Evening,Hyderabad,Business,19.92,38,51457
257332,Vistara,Bangalore,Evening,one,Evening,Hyderabad,Business,23.17,23,63163
273843,Air_India,Kolkata,Afternoon,one,Afternoon,Chennai,Business,21.17,29,55983
144068,Vistara,Kolkata,Night,one,Early_Morning,Hyderabad,Economy,11.25,16,6977
140375,Air_India,Kolkata,Night,one,Evening,Bangalore,Economy,23.33,35,7095
113496,Vistara,Bangalore,Early_Morning,one,Evening,Hyderabad,Economy,11.92,33,6577
134703,GO_FIRST,Kolkata,Afternoon,one,Night,Mumbai,Economy,6.17,44,5790
14031,AirAsia,Delhi,Early_Morning,one,Evening,Bangalore,Economy,11.5,22,3090
129994,SpiceJet,Kolkata,Early_Morning,one,Morning,Mumbai,Economy,26.58,18,5339
117135,GO_FIRST,Bangalore,Evening,one,Early_Morning,Chennai,Economy,11.67,21,4687
127933,Air_India,Kolkata,Night,one,Night,Mumbai,Economy,21.83,5,11214
121413,Indigo,Kolkata,Evening,zero,Night,Delhi,Economy,2.5,14,6489
270643,Air_India,Kolkata,Night,one,Evening,Hyderabad,Business,22.83,10,52063
186749,Vistara,Chennai,Night,one,Evening,Delhi,Economy,21.58,44,5206
150072,Indigo,Kolkata,Morning,one,Evening,Chennai,Economy,7.67,23,17620
71459,Air_India,Mumbai,Afternoon,one,Evening,Hyderabad,Economy,26.0,10,11639
260720,Vistara,Bangalore,Early_Morning,one,Night,Chennai,Business,16.42,39,44280
236863,Air_India,Mumbai,Evening,one,Morning,Kolkata,Business,15.0,36,49725
41500,Vistara,Delhi,Early_Morning,one,Evening,Chennai,Economy,14.17,40,4979
37758,AirAsia,Delhi,Afternoon,one,Night,Chennai,Economy,9.17,18,7426
57428,Air_India,Mumbai,Afternoon,one,Evening,Bangalore,Economy,24.25,27,6082
77639,Air_India,Mumbai,Night,one,Evening,Chennai,Economy,21.5,4,9201
95674,AirAsia,Bangalore,Evening,zero,Night,Mumbai,Economy,1.75,12,5179
28470,Indigo,Delhi,Afternoon,one,Night,Kolkata,Economy,6.08,48,3754
105260,Indigo,Bangalore,Morning,zero,Morning,Kolkata,Economy,2.67,20,3912
219205,Air_India,Delhi,Early_Morning,one,Morning,Hyderabad,Business,26.67,3,45525
109576,Air_India,Bangalore,Evening,one,Morning,Kolkata,Economy,13.67,49,5007
41424,Indigo,Delhi,Evening,zero,Night,Chennai,Economy,3.0,40,2343
113614,Air_India,Bangalore,Early_Morning,one,Night,Hyderabad,Economy,14.42,34,6200
95061,Air_India,Bangalore,Morning,one,Night,Mumbai,Economy,11.17,8,9277
229246,Air_India,Mumbai,Morning,one,Night,Delhi,Business,11.08,42,53152
277540,Air_India,Hyderabad,Morning,one,Night,Mumbai,Business,10.25,7,45883
271607,Air_India,Kolkata,Morning,one,Night,Hyderabad,Business,13.17,30,52063
34764,GO_FIRST,Delhi,Morning,one,Late_Night,Hyderabad,Economy,15.5,45,6074
26858,Air_India,Delhi,Afternoon,one,Afternoon,Kolkata,Economy,21.67,39,4933
267084,Vistara,Kolkata,Night,zero,Night,Mumbai,Business,2.92,46,31982
88657,Indigo,Bangalore,Morning,one,Night,Delhi,Economy,9.67,24,5563
103203,Vistara,Bangalore,Morning,one,Evening,Kolkata,Economy,8.08,5,12544
137396,Air_India,Kolkata,Early_Morning,one,Night,Bangalore,Economy,12.33,15,14588
295104,Vistara,Chennai,Morning,one,Early_Morning,Bangalore,Business,22.08,34,44144
118106,Vistara,Bangalore,Evening,one,Morning,Chennai,Economy,12.92,32,4672
6264,Air_India,Delhi,Early_Morning,one,Afternoon,Mumbai,Economy,9.75,32,3291
191057,Indigo,Chennai,Evening,one,Late_Night,Mumbai,Economy,8.75,28,6017
36119,Vistara,Delhi,Afternoon,one,Evening,Chennai,Economy,5.58,8,11520
76836,Vistara,Mumbai,Night,one,Evening,Hyderabad,Economy,20.08,46,4099
94945,Vistara,Bangalore,Morning,one,Night,Mumbai,Economy,12.33,7,11205
275743,Air_India,Hyderabad,Morning,one,Night,Delhi,Business,15.33,21,39499
173793,Vistara,Hyderabad,Night,one,Evening,Kolkata,Economy,19.25,28,7767
216508,Vistara,Delhi,Evening,one,Evening,Kolkata,Business,24.08,11,73369
25449,GO_FIRST,Delhi,Morning,one,Afternoon,Kolkata,Economy,4.67,31,8011
75898,Air_India,Mumbai,Early_Morning,one,Morning,Hyderabad,Economy,4.58,40,3098
195543,Vistara,Chennai,Afternoon,one,Morning,Bangalore,Economy,20.33,24,4755
199403,Vistara,Chennai,Morning,one,Morning,Kolkata,Economy,21.83,18,5937
177012,Vistara,Hyderabad,Evening,one,Morning,Chennai,Economy,16.25,10,12033
171410,Indigo,Hyderabad,Night,one,Morning,Kolkata,Economy,10.67,9,6663
188532,Vistara,Chennai,Evening,one,Night,Mumbai,Economy,6.67,10,20373
128057,Air_India,Kolkata,Morning,zero,Afternoon,Mumbai,Economy,2.75,6,8379
285929,Vistara,Hyderabad,Night,one,Night,Chennai,Business,25.5,15,45189
210706,Vistara,Delhi,Evening,one,Night,Mumbai,Business,5.75,38,53164
167152,Vistara,Hyderabad,Afternoon,one,Night,Bangalore,Economy,7.0,18,6461
57934,Air_India,Mumbai,Early_Morning,one,Afternoon,Bangalore,Economy,9.17,30,3633
114642,Vistara,Bangalore,Afternoon,two_or_more,Morning,Hyderabad,Economy,20.92,42,8440
67940,Air_India,Mumbai,Early_Morning,one,Afternoon,Kolkata,Economy,7.5,37,4556
39137,Vistara,Delhi,Afternoon,two_or_more,Night,Chennai,Economy,33.75,26,6692
185889,Indigo,Chennai,Afternoon,one,Late_Night,Delhi,Economy,9.33,39,3361
196450,Vistara,Chennai,Morning,two_or_more,Evening,Bangalore,Economy,6.25,34,6437
62011,Indigo,Mumbai,Morning,one,Afternoon,Kolkata,Economy,4.58,4,19751
268713,Air_India,Kolkata,Evening,zero,Night,Bangalore,Business,2.58,25,25470
272278,Air_India,Kolkata,Morning,one,Night,Hyderabad,Business,13.17,43,52063
213478,Vistara,Delhi,Night,one,Morning,Bangalore,Business,13.08,20,54777
79324,Air_India,Mumbai,Morning,two_or_more,Night,Chennai,Economy,37.75,16,9893
211808,Vistara,Delhi,Early_Morning,one,Morning,Mumbai,Business,26.92,48,41281
284466,Air_India,Hyderabad,Morning,one,Evening,Kolkata,Business,7.83,32,51707
7202,Vistara,Delhi,Evening,one,Night,Mumbai,Economy,7.33,36,6296
158251,Indigo,Hyderabad,Morning,one,Night,Delhi,Economy,10.92,47,5289
42899,Air_India,Delhi,Early_Morning,zero,Morning,Chennai,Economy,2.92,49,2343
188982,GO_FIRST,Chennai,Early_Morning,one,Night,Mumbai,Economy,14.75,14,5881
119142,Air_India,Bangalore,Afternoon,one,Night,Chennai,Economy,10.25,43,6444
243177,Vistara,Mumbai,Night,one,Night,Chennai,Business,23.33,25,61933
209693,Vistara,Delhi,Early_Morning,one,Afternoon,Mumbai,Business,7.0,29,47856
227108,Air_India,Mumbai,Morning,one,Night,Delhi,Business,11.08,22,53152
26181,Vistara,Delhi,Evening,one,Morning,Kolkata,Economy,14.67,35,7221
33534,Vistara,Delhi,Night,one,Early_Morning,Hyderabad,Economy,10.17,37,5549
145119,Air_India,Kolkata,Afternoon,one,Afternoon,Hyderabad,Economy,22.92,25,4956
36037,Vistara,Delhi,Early_Morning,two_or_more,Night,Chennai,Economy,17.17,7,16212
296092,Vistara,Chennai,Morning,one,Night,Kolkata,Business,12.0,6,55377
150567,Air_India,Kolkata,Morning,two_or_more,Evening,Chennai,Economy,9.08,28,8307
28698,Air_India,Delhi,Evening,one,Morning,Kolkata,Economy,12.83,49,5276
50533,Indigo,Mumbai,Early_Morning,zero,Morning,Delhi,Economy,2.08,39,2339
36128,Vistara,Delhi,Morning,one,Evening,Chennai,Economy,11.08,8,11520
122235,AirAsia,Kolkata,Evening,one,Late_Night,Delhi,Economy,9.08,19,3014
229289,Vistara,Mumbai,Evening,one,Evening,Delhi,Business,24.42,43,36565
91311,AirAsia,Bangalore,Early_Morning,one,Afternoon,Delhi,Economy,9.75,37,3467
73551,Air_India,Mumbai,Night,one,Night,Hyderabad,Economy,24.33,24,5219
168232,AirAsia,Hyderabad,Evening,one,Night,Bangalore,Economy,7.67,28,2738
289373,Vistara,Chennai,Night,one,Afternoon,Delhi,Business,16.17,32,65872
66902,Vistara,Mumbai,Night,one,Evening,Kolkata,Economy,19.33,31,5949
259149,Vistara,Bangalore,Evening,one,Evening,Chennai,Business,24.92,6,44280
239289,Vistara,Mumbai,Early_Morning,one,Evening,Hyderabad,Business,11.0,20,45805
191416,Vistara,Chennai,Night,one,Evening,Mumbai,Economy,19.42,31,4637
171799,Vistara,Hyderabad,Night,one,Morning,Kolkata,Economy,13.0,12,10069
189367,Vistara,Chennai,Morning,one,Night,Mumbai,Economy,10.5,16,11428
267230,Air_India,Kolkata,Night,one,Morning,Mumbai,Business,13.67,48,50271
218541,Vistara,Delhi,Evening,one,Morning,Kolkata,Business,16.92,41,61049
155028,Vistara,Hyderabad,Early_Morning,one,Night,Delhi,Economy,12.83,23,6138
97877,Vistara,Bangalore,Night,one,Morning,Mumbai,Economy,14.42,23,6568
112791,Indigo,Bangalore,Morning,one,Night,Hyderabad,Economy,10.0,28,3354
207324,Vistara,Delhi,Early_Morning,zero,Early_Morning,Mumbai,Business,2.17,8,34472
103516,AirAsia,Bangalore,Early_Morning,one,Afternoon,Kolkata,Economy,5.33,8,5176
24405,Air_India,Delhi,Morning,one,Afternoon,Kolkata,Economy,28.08,25,6542
172227,Indigo,Hyderabad,Evening,one,Night,Kolkata,Economy,6.08,16,5293
41270,Air_India,Delhi,Evening,one,Early_Morning,Chennai,Economy,14.75,39,3726
77682,Vistara,Mumbai,Evening,one,Night,Chennai,Economy,27.0,4,11129
254420,Vistara,Bangalore,Evening,one,Morning,Kolkata,Business,12.92,26,60508
12855,SpiceJet,Delhi,Evening,one,Morning,Bangalore,Economy,13.5,16,5640
252413,Vistara,Bangalore,Early_Morning,one,Night,Mumbai,Business,13.25,44,69244
228415,Vistara,Mumbai,Evening,zero,Evening,Delhi,Business,2.17,35,29980
263868,Vistara,Kolkata,Early_Morning,zero,Morning,Delhi,Business,2.42,48,28510
86553,Air_India,Bangalore,Evening,one,Evening,Delhi,Economy,21.75,14,18829
218464,Air_India,Delhi,Early_Morning,one,Night,Kolkata,Business,16.67,40,53209
263279,Vistara,Kolkata,Evening,one,Late_Night,Delhi,Business,7.33,37,53743
174080,Indigo,Hyderabad,Early_Morning,one,Morning,Kolkata,Economy,5.33,31,3223
240305,Vistara,Mumbai,Evening,one,Evening,Hyderabad,Business,24.17,33,60365
91526,Air_India,Bangalore,Evening,one,Evening,Delhi,Economy,23.67,38,3685
231090,Vistara,Mumbai,Morning,one,Night,Bangalore,Business,11.67,14,69168
267628,Vistara,Kolkata,Evening,one,Evening,Bangalore,Business,22.25,7,60978
165232,GO_FIRST,Hyderabad,Night,one,Morning,Mumbai,Economy,10.58,47,4165
105111,Air_India,Bangalore,Evening,one,Morning,Kolkata,Economy,13.25,19,4224
62927,Indigo,Mumbai,Evening,one,Night,Kolkata,Economy,6.33,10,11456
237219,Air_India,Mumbai,Evening,one,Afternoon,Kolkata,Business,18.5,40,49725
45766,GO_FIRST,Mumbai,Morning,one,Night,Delhi,Economy,9.67,16,5942
146680,Air_India,Kolkata,Night,one,Morning,Hyderabad,Economy,14.0,38,4724
185611,Vistara,Chennai,Morning,one,Evening,Delhi,Economy,8.33,37,5206
116375,Vistara,Bangalore,Early_Morning,one,Night,Chennai,Economy,12.25,12,12454
188315,Indigo,Chennai,Night,zero,Late_Night,Mumbai,Economy,2.08,9,6827
69923,SpiceJet,Mumbai,Night,one,Morning,Kolkata,Economy,11.58,47,5818
39138,Air_India,Delhi,Early_Morning,one,Night,Chennai,Economy,14.5,26,6414
226346,Air_India,Mumbai,Morning,one,Evening,Delhi,Business,10.83,15,50957
12973,Vistara,Delhi,Evening,one,Early_Morning,Bangalore,Economy,12.0,17,4496
173273,Air_India,Hyderabad,Afternoon,one,Afternoon,Kolkata,Economy,20.5,24,6197
201256,Indigo,Chennai,Evening,zero,Night,Kolkata,Economy,2.17,37,2359
275461,Vistara,Hyderabad,Night,one,Evening,Delhi,Business,20.5,15,55750
229259,Vistara,Mumbai,Early_Morning,zero,Morning,Delhi,Business,2.08,43,22140
255512,Vistara,Bangalore,Night,one,Evening,Kolkata,Business,22.42,42,62188
77486,Indigo,Mumbai,Morning,one,Afternoon,Chennai,Economy,7.42,3,8043
84361,GO_FIRST,Bangalore,Evening,one,Morning,Delhi,Economy,15.0,3,10611
191932,Indigo,Chennai,Morning,zero,Morning,Mumbai,Economy,1.92,35,3572
58705,Air_India,Mumbai,Night,one,Evening,Bangalore,Economy,18.75,34,6082
294556,Air_India,Chennai,Evening,one,Morning,Bangalore,Business,15.92,23,60260
254666,Vistara,Bangalore,Morning,one,Evening,Kolkata,Business,10.42,30,51817
286298,Vistara,Hyderabad,Early_Morning,one,Night,Chennai,Business,13.42,23,51707
236876,Vistara,Mumbai,Night,one,Morning,Kolkata,Business,9.83,36,50621
233918,Vistara,Mumbai,Morning,one,Night,Bangalore,Business,13.92,46,69168
74209,Vistara,Mumbai,Morning,one,Night,Hyderabad,Economy,11.83,29,3334
171496,Indigo,Hyderabad,Afternoon,one,Night,Kolkata,Economy,8.58,10,5293
143257,Indigo,Kolkata,Night,one,Early_Morning,Hyderabad,Economy,9.08,9,10584
117249,Air_India,Bangalore,Night,one,Night,Chennai,Economy,26.58,22,6444
663,Vistara,Delhi,Afternoon,one,Night,Mumbai,Economy,7.92,5,10575
202526,Vistara,Chennai,Early_Morning,one,Morning,Kolkata,Economy,25.25,48,5937
85094,Indigo,Bangalore,Night,one,Late_Night,Delhi,Economy,5.83,7,10586
5569,Air_India,Delhi,Evening,zero,Evening,Mumbai,Economy,2.0,29,2476
13458,Vistara,Delhi,Afternoon,one,Night,Bangalore,Economy,10.0,19,4496
145204,Vistara,Kolkata,Evening,one,Afternoon,Hyderabad,Economy,18.67,25,7834
56058,GO_FIRST,Mumbai,Evening,one,Night,Bangalore,Economy,4.42,20,5102
162115,GO_FIRST,Hyderabad,Night,one,Early_Morning,Mumbai,Economy,10.58,27,3423
200600,Air_India,Chennai,Evening,one,Afternoon,Kolkata,Economy,20.08,30,4550
70632,Air_India,Mumbai,Evening,one,Morning,Hyderabad,Economy,17.92,4,7584
71773,Air_India,Mumbai,Evening,one,Evening,Hyderabad,Economy,25.0,12,13086
166040,Air_India,Hyderabad,Morning,one,Late_Night,Bangalore,Economy,12.83,7,13168
152287,Indigo,Kolkata,Afternoon,one,Night,Chennai,Economy,5.75,47,3015
253839,Vistara,Bangalore,Early_Morning,one,Evening,Kolkata,Business,12.58,17,62188
247989,Air_India,Bangalore,Late_Night,one,Afternoon,Delhi,Business,10.25,41,52586
255141,Vistara,Bangalore,Early_Morning,one,Morning,Kolkata,Business,27.0,37,51817
263575,Vistara,Kolkata,Night,one,Evening,Delhi,Business,23.17,42,61583
237768,Vistara,Mumbai,Evening,zero,Evening,Kolkata,Business,2.58,47,31436
226045,Vistara,Mumbai,Evening,one,Morning,Delhi,Business,15.92,12,51372
141162,AirAsia,Kolkata,Night,zero,Late_Night,Bangalore,Economy,2.75,41,3862
201418,Air_India,Chennai,Evening,one,Evening,Kolkata,Economy,26.17,38,6044
101932,Indigo,Bangalore,Afternoon,one,Evening,Mumbai,Economy,4.08,45,4105
185375,AirAsia,Chennai,Evening,one,Night,Delhi,Economy,6.17,36,2477
225512,Vistara,Mumbai,Morning,zero,Afternoon,Delhi,Business,2.25,7,42412
26573,Air_India,Delhi,Early_Morning,two_or_more,Afternoon,Kolkata,Economy,31.25,37,9181
195433,AirAsia,Chennai,Night,zero,Night,Bangalore,Economy,1.5,23,1548
162974,Air_India,Hyderabad,Afternoon,one,Morning,Mumbai,Economy,20.08,32,4363
156244,Vistara,Hyderabad,Morning,one,Evening,Delhi,Economy,8.83,32,5668
206864,Vistara,Delhi,Evening,one,Night,Mumbai,Business,26.83,3,70793
91062,AirAsia,Bangalore,Early_Morning,one,Afternoon,Delhi,Economy,6.92,36,2723
125205,Indigo,Kolkata,Morning,one,Evening,Delhi,Economy,6.92,36,4805
185644,Air_India,Chennai,Morning,one,Evening,Delhi,Economy,6.67,37,5713
64100,Vistara,Mumbai,Night,one,Evening,Kolkata,Economy,20.83,16,9529
89141,AirAsia,Bangalore,Morning,one,Evening,Delhi,Economy,7.58,27,2723
87653,AirAsia,Bangalore,Night,one,Morning,Delhi,Economy,10.92,20,2723
217144,Air_India,Delhi,Night,zero,Night,Kolkata,Business,2.08,21,27976
231274,Vistara,Mumbai,Morning,one,Night,Bangalore,Business,14.58,16,69168
276487,Vistara,Hyderabad,Morning,one,Evening,Delhi,Business,11.25,35,47395
270786,Vistara,Kolkata,Evening,one,Night,Hyderabad,Business,28.17,13,52175
34927,SpiceJet,Delhi,Afternoon,one,Night,Hyderabad,Economy,5.83,46,9971
164627,Air_India,Hyderabad,Early_Morning,one,Evening,Mumbai,Economy,10.58,43,3288
161943,Vistara,Hyderabad,Early_Morning,one,Night,Mumbai,Economy,14.17,26,3471
266534,Air_India,Kolkata,Afternoon,one,Night,Mumbai,Business,6.67,38,50271
148825,Vistara,Kolkata,Night,one,Evening,Chennai,Economy,19.92,11,11675
90767,GO_FIRST,Bangalore,Morning,one,Afternoon,Delhi,Economy,5.75,34,4152
178252,Vistara,Hyderabad,Afternoon,one,Morning,Chennai,Economy,20.5,25,3859
220977,Vistara,Delhi,Early_Morning,one,Night,Hyderabad,Business,13.42,34,53937
297939,Air_India,Chennai,Afternoon,one,Night,Kolkata,Business,8.33,47,54481
124486,AirAsia,Kolkata,Evening,one,Late_Night,Delhi,Economy,11.08,32,3014
209983,Vistara,Delhi,Afternoon,zero,Evening,Mumbai,Business,2.17,32,34472
52500,Indigo,Mumbai,Late_Night,one,Early_Morning,Delhi,Economy,7.17,48,3010
27168,Indigo,Delhi,Early_Morning,one,Afternoon,Kolkata,Economy,5.58,41,2482
212708,Air_India,Delhi,Early_Morning,one,Night,Bangalore,Business,16.0,11,52522
283050,Vistara,Hyderabad,Afternoon,one,Evening,Kolkata,Business,27.92,3,52726
253827,Air_India,Bangalore,Early_Morning,one,Evening,Kolkata,Business,13.0,17,60508
151887,Indigo,Kolkata,Morning,one,Afternoon,Chennai,Economy,6.0,42,3015
17122,GO_FIRST,Delhi,Afternoon,one,Night,Bangalore,Economy,4.75,36,3568
7426,GO_FIRST,Delhi,Early_Morning,one,Afternoon,Mumbai,Economy,9.75,37,6089
23630,Vistara,Delhi,Afternoon,one,Evening,Kolkata,Economy,7.08,21,6840
296318,Vistara,Chennai,Morning,one,Evening,Kolkata,Business,10.17,11,54896
124281,Indigo,Kolkata,Afternoon,one,Evening,Delhi,Economy,6.42,30,8930
151484,SpiceJet,Kolkata,Night,zero,Night,Chennai,Economy,2.25,38,2966
293525,Vistara,Chennai,Afternoon,one,Evening,Bangalore,Business,6.75,5,44144
260730,Vistara,Bangalore,Early_Morning,one,Evening,Chennai,Business,8.33,39,60396
194174,Indigo,Chennai,Afternoon,one,Night,Bangalore,Economy,6.75,7,6302
84864,Indigo,Bangalore,Evening,one,Night,Delhi,Economy,7.42,6,9798
316,Air_India,Delhi,Early_Morning,one,Morning,Mumbai,Economy,26.42,3,12150
44784,SpiceJet,Mumbai,Evening,zero,Night,Delhi,Economy,2.42,12,5943
16520,GO_FIRST,Delhi,Early_Morning,one,Afternoon,Bangalore,Economy,7.17,33,4020
297791,Air_India,Chennai,Early_Morning,one,Afternoon,Kolkata,Business,8.33,43,55377
260879,Vistara,Bangalore,Evening,one,Evening,Chennai,Business,24.92,42,44280
125519,GO_FIRST,Kolkata,Afternoon,zero,Evening,Delhi,Economy,2.58,38,4246
134432,AirAsia,Kolkata,Morning,two_or_more,Night,Mumbai,Economy,13.17,43,4267
78848,Air_India,Mumbai,Early_Morning,one,Night,Chennai,Economy,16.5,13,9201
228470,Vistara,Mumbai,Morning,one,Evening,Delhi,Business,5.25,35,50982
82140,Vistara,Mumbai,Afternoon,one,Night,Chennai,Economy,7.0,36,4249
200256,AirAsia,Chennai,Night,zero,Late_Night,Kolkata,Economy,2.42,26,4617
244553,Vistara,Mumbai,Morning,one,Night,Chennai,Business,8.33,44,61933
45399,Air_India,Mumbai,Morning,one,Night,Delhi,Economy,14.17,14,14658
253907,Air_India,Bangalore,Evening,one,Evening,Kolkata,Business,25.33,18,60508
265935,Vistara,Kolkata,Early_Morning,one,Night,Mumbai,Business,14.83,29,70431
287513,Vistara,Hyderabad,Night,one,Night,Chennai,Business,26.33,47,51707
274776,Air_India,Hyderabad,Early_Morning,one,Evening,Delhi,Business,12.0,2,54306
68980,Vistara,Mumbai,Afternoon,one,Morning,Kolkata,Economy,17.83,42,5949
233656,Vistara,Mumbai,Night,one,Morning,Bangalore,Business,13.92,43,66928
132804,Indigo,Kolkata,Morning,one,Evening,Mumbai,Economy,4.67,34,3381
102934,SpiceJet,Bangalore,Early_Morning,one,Morning,Kolkata,Economy,4.83,3,7907
243982,Vistara,Mumbai,Early_Morning,one,Evening,Chennai,Business,8.83,36,64173
164662,Indigo,Hyderabad,Evening,one,Late_Night,Mumbai,Economy,5.08,43,4138
287080,Air_India,Hyderabad,Early_Morning,one,Morning,Chennai,Business,26.42,38,51595
214607,Air_India,Delhi,Morning,zero,Afternoon,Bangalore,Business,2.75,34,32859
8088,Vistara,Delhi,Evening,one,Night,Mumbai,Economy,6.0,40,7575
166391,Air_India,Hyderabad,Afternoon,one,Night,Bangalore,Economy,8.67,11,7551
284184,Air_India,Hyderabad,Night,one,Afternoon,Kolkata,Business,13.92,27,48795
60561,Vistara,Mumbai,Morning,one,Evening,Bangalore,Economy,8.42,44,6450
99557,Air_India,Bangalore,Early_Morning,one,Night,Mumbai,Economy,14.0,32,5761
120229,Indigo,Kolkata,Afternoon,one,Night,Delhi,Economy,7.42,6,11860
132724,Vistara,Kolkata,Night,one,Afternoon,Mumbai,Economy,17.58,33,6067
46559,Vistara,Mumbai,Evening,one,Night,Delhi,Economy,6.08,20,4810
212264,Air_India,Delhi,Early_Morning,one,Evening,Bangalore,Business,12.25,6,39783
102048,Indigo,Bangalore,Evening,zero,Night,Mumbai,Economy,1.67,46,2201
284901,Air_India,Hyderabad,Early_Morning,one,Night,Kolkata,Business,15.83,40,51707
80042,Air_India,Mumbai,Early_Morning,one,Early_Morning,Chennai,Economy,24.92,21,5800
41746,Vistara,Delhi,Afternoon,two_or_more,Morning,Chennai,Economy,22.5,41,7610
190382,SpiceJet,Chennai,Night,zero,Night,Mumbai,Economy,2.0,24,3150
15803,AirAsia,Delhi,Afternoon,one,Night,Bangalore,Economy,8.25,30,3569
232602,Vistara,Mumbai,Early_Morning,one,Night,Bangalore,Business,12.92,31,69168
129472,SpiceJet,Kolkata,Night,one,Night,Mumbai,Economy,26.17,15,7958
217157,Air_India,Delhi,Morning,one,Evening,Kolkata,Business,6.67,21,44478
131149,Indigo,Kolkata,Morning,one,Night,Mumbai,Economy,9.75,24,7959
56968,AirAsia,Mumbai,Night,zero,Night,Bangalore,Economy,1.92,25,2124
143989,Indigo,Kolkata,Early_Morning,one,Afternoon,Hyderabad,Economy,6.42,15,12159
26092,Air_India,Delhi,Evening,one,Afternoon,Kolkata,Economy,18.33,35,5276
108445,Vistara,Bangalore,Early_Morning,one,Evening,Kolkata,Economy,10.17,41,6271
